

gen best mean std
0 21.247427 -1.732786 8.606031
1 56.773463 6.345125 13.532201
2 65.742332 17.27614 13.964112
3 65.742332 22.679024 14.395395
4 74.884108 27.127344 18.141169
5 74.884108 31.796713 19.572891
6 87.613791 36.04264 21.344838
7 87.613791 39.011633 22.401139
8 87.613791 41.575859 22.362012
9 89.501926 48.638365 21.820855
10 89.501926 50.248395 22.565276
11 89.501926 53.876809 20.247613
12 89.501926 54.646901 20.781413
13 89.501926 53.123692 19.767552
14 89.501926 55.089465 19.915139
15 89.501926 57.378922 16.758765
16 89.501926 56.88561 16.311869
17 89.501926 55.347818 19.253019
18 89.501926 53.787627 17.431987
19 89.501926 51.822714 17.556994
20 89.501926 55.127563 14.959118
21 89.501926 55.184556 15.60608
22 89.501926 53.607767 18.324447
23 89.501926 54.843478 16.513863
doomsday
24 89.501926 48.797342 24.915092
25 89.501926 52.052732 17.326326
26 89.501926 53.728539 15.177828
27 89.501926 52.239474 15.999364
28 89.501926 54.55848 14.457455
29 89.501926 56.02703 12.203866
