

gen best mean std
0 92.58272 14.456543 33.135597
1 92.58272 43.60596 36.987695
2 92.58272 65.553214 28.690109
3 92.596054 72.468869 23.317832
4 92.776119 78.403018 20.975564
5 92.927 80.017034 19.340326
6 93.589365 82.230506 15.947044
7 93.589365 79.049672 19.747126
8 93.589365 80.453389 18.256115
9 93.589365 80.59979 17.755025
10 93.635214 82.066253 15.636373
11 93.635214 79.680128 19.716137
12 93.635214 80.831998 19.172122
13 93.727 83.356045 16.941835
14 93.727 85.089719 13.439336
15 93.727 83.485059 14.919067
16 93.727 83.92016 12.042567
17 93.727 82.870817 15.674273
18 93.727 81.75136 17.562087
19 93.727 82.628276 16.051582
20 93.727 84.562796 13.404733
21 93.727 84.469943 13.371724
22 93.727 83.933739 14.34796
23 93.727 84.316395 13.454758
24 93.727 81.31745 18.285206
25 93.727 85.566444 11.667169
26 93.727 82.483787 17.593704
27 93.727 81.200944 19.272914
doomsday
28 93.727 76.113982 28.17317
29 93.727 81.583258 19.296585
