

gen best mean std
0 91.367911 7.870525 28.0822
1 91.547911 24.458135 37.034572
2 93.160134 49.554005 41.6061
3 93.160134 75.220565 29.87383
4 93.160134 76.886569 28.394724
5 93.306794 84.100579 18.75717
6 94.36625 84.540944 18.478187
7 94.36625 83.219033 21.794326
8 94.151732 85.762918 18.469848
9 93.971732 82.875898 22.272585
10 93.552976 89.13189 9.193632
11 93.912976 87.024795 16.050632
12 94.36625 86.489919 17.132775
13 94.36625 87.433516 14.51461
14 94.36625 88.191914 12.240664
15 93.912976 87.993398 14.085855
16 93.912976 90.206227 6.254004
17 94.36625 89.207937 10.384239
18 93.552976 86.186075 16.818946
19 93.912976 88.847424 11.61875
20 93.912976 88.812428 11.014523
doomsday
21 94.36625 73.571809 35.888853
22 94.36625 86.201299 19.772413
23 93.942462 89.645193 9.064177
24 93.552976 88.064038 14.122792
25 93.912976 87.812548 15.279532
26 94.36625 89.806392 9.62162
27 93.552976 88.364516 12.951572
28 94.36625 89.798643 8.163388
29 94.36625 90.955992 1.353632
