

gen best mean std
0 21.747727 -1.313 8.421768
1 30.486571 5.461986 11.185876
2 48.008535 14.727446 10.808367
3 48.008535 17.518739 9.592216
4 75.76678 20.584766 11.507085
5 75.76678 22.248566 12.043903
6 75.76678 22.733987 12.883349
7 84.167946 24.539571 15.068321
8 84.167946 24.818609 15.179447
9 84.167946 24.430218 15.973069
10 84.167946 25.31811 16.922319
11 84.167946 25.858389 16.729912
12 84.167946 25.948686 17.876618
13 84.167946 25.856521 18.632978
14 84.167946 26.590875 18.22329
15 84.167946 27.121069 19.113501
16 84.167946 27.932172 20.125247
17 84.167946 28.535683 21.610362
18 84.167946 29.564089 21.929667
19 84.167946 29.480435 22.040903
20 84.167946 29.637037 23.158867
21 85.143825 31.025519 24.15735
22 85.143825 30.747265 24.382712
23 85.143825 31.546131 23.647359
24 85.143825 29.484346 24.520247
25 85.143825 29.444718 24.481421
26 85.143825 29.608645 24.441489
27 85.143825 28.019089 23.572954
28 85.143825 30.265993 22.897048
29 85.143825 31.410221 23.264245
