

gen best mean std
0 30.812614 -2.753457 7.004489
1 39.588354 3.466895 11.490231
2 39.588354 8.042416 11.993912
3 39.588354 12.722155 10.289049
4 39.588354 14.680466 8.898371
5 39.588354 15.184767 9.969683
6 39.588354 15.392981 10.042367
7 66.150675 17.346975 12.207741
8 66.150675 18.963386 13.004368
9 66.150675 19.307742 14.23169
10 66.150675 18.9601 15.552302
11 66.150675 20.256221 16.745876
12 66.150675 22.022652 17.186678
13 66.150675 21.777304 17.20144
14 66.150675 22.429602 17.204152
15 66.150675 23.412451 17.286321
16 66.150675 23.614282 17.784153
17 66.150675 24.994088 18.473698
18 66.150675 25.491249 18.245362
19 75.111122 24.178993 18.946085
20 75.111122 24.316091 19.051037
21 75.111122 24.789042 18.712785
22 75.111122 26.916098 18.742609
23 75.111122 27.504169 19.8161
24 75.111122 29.591156 19.161331
25 75.111122 28.858635 19.996282
26 75.111122 28.306336 20.729913
27 75.111122 29.626543 21.648647
28 75.111122 30.784269 20.820437
29 75.299556 32.334755 21.127535
