

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 5; fitness: 65.18216942854585; player life: 0; enemy life: 20.0; time: 914

RUN: run status: enemy: 5; fitness: 47.22235340636488; player life: 0; enemy life: 40.0; time: 878

RUN: run status: enemy: 5; fitness: 65.21894237406381; player life: 0; enemy life: 20.0; time: 881

RUN: run status: enemy: 5; fitness: 84.70455964963239; player life: 13.600000000000229; enemy life: 0; time: 777

RUN: run status: enemy: 5; fitness: 86.60497518017193; player life: 29.80000000000026; enemy life: 0; time: 587

RUN: run status: enemy: 5; fitness: 84.6019054955723; player life: 13.600000000000229; enemy life: 0; time: 861

RUN: run status: enemy: 5; fitness: 56.17128792835832; player life: 0; enemy life: 30.0; time: 924

RUN: run status: enemy: 5; fitness: 65.23380828533965; player life: 0; enemy life: 20.0; time: 868

RUN: run status: enemy: 5; fitness: 74.11346835746949; player life: 0; enemy life: 10.0; time: 979

RUN: run status: enemy: 5; fitness: 74.1865554004891; player life: 0; enemy life: 10.0; time: 910

RUN: run status: enemy: 5; fitness: 74.13515222202913; player life: 0; enemy life: 10.0; time: 958

RUN: run status: enemy: 5; fitness: 56.29313766339725; player life: 0; enemy life: 30.0; time: 818

RUN: run status: enemy: 5; fitness: 65.11858869635746; player life: 0; enemy life: 20.0; time: 974

RUN: run status: enemy: 5; fitness: 65.24190549557227; player life: 0; enemy life: 20.0; time: 861

RUN: run status: enemy: 5; fitness: 47.30296575233351; player life: 0; enemy life: 40.0; time: 810

RUN: run status: enemy: 5; fitness: 38.372244721017886; player life: 2.8000000000002343; enemy life: 50.0; time: 1000

RUN: run status: enemy: 5; fitness: 84.95191591614696; player life: 16.60000000000023; enemy life: 0; time: 819

RUN: run status: enemy: 5; fitness: 65.44606659597419; player life: 0; enemy life: 20.0; time: 702

RUN: run status: enemy: 5; fitness: 74.26303304199814; player life: 0; enemy life: 10.0; time: 843

RUN: run status: enemy: 5; fitness: 83.61137138691532; player life: 3.4000000000002344; enemy life: 0; time: 836

RUN: run status: enemy: 5; fitness: 65.24190549557227; player life: 0; enemy life: 20.0; time: 861

RUN: run status: enemy: 5; fitness: 29.32165788534567; player life: 0; enemy life: 60.0; time: 795

RUN: run status: enemy: 5; fitness: 47.15093371736654; player life: 0; enemy life: 40.0; time: 943

RUN: run status: enemy: 5; fitness: 65.17671387764432; player life: 0; enemy life: 20.0; time: 919

RUN: run status: enemy: 5; fitness: 56.24889853106324; player life: 0; enemy life: 30.0; time: 855

RUN: run status: enemy: 5; fitness: 65.21102825700783; player life: 0; enemy life: 20.0; time: 888

RUN: run status: enemy: 5; fitness: 74.20653386741999; player life: 0; enemy life: 10.0; time: 892

RUN: run status: enemy: 5; fitness: 38.14881507250626; player life: 0; enemy life: 50.0; time: 945

RUN: run status: enemy: 5; fitness: 29.33559097964959; player life: 0; enemy life: 60.0; time: 784

RUN: run status: enemy: 5; fitness: 47.438969334103426; player life: 0; enemy life: 40.0; time: 707

RUN: run status: enemy: 5; fitness: 56.14459120139007; player life: 0; enemy life: 30.0; time: 949

RUN: run status: enemy: 5; fitness: 83.4544903299652; player life: 3.4000000000002344; enemy life: 0; time: 978

RUN: run status: enemy: 5; fitness: 29.18107593472448; player life: 0; enemy life: 60.0; time: 915

RUN: run status: enemy: 5; fitness: 65.25224472101789; player life: 1.6000000000002341; enemy life: 20.0; time: 1000

RUN: run status: enemy: 5; fitness: 85.61797486110719; player life: 22.00000000000024; enemy life: 0; time: 722

RUN: run status: enemy: 5; fitness: 38.22235340636488; player life: 0; enemy life: 50.0; time: 878

RUN: run status: enemy: 5; fitness: 86.89123086302835; player life: 34.00000000000027; enemy life: 0; time: 671

RUN: run status: enemy: 5; fitness: 65.14564549774498; player life: 0; enemy life: 20.0; time: 948

RUN: run status: enemy: 5; fitness: 29.310400730821033; player life: 0; enemy life: 60.0; time: 804

RUN: run status: enemy: 5; fitness: 47.21894237406382; player life: 0; enemy life: 40.0; time: 881

RUN: run status: enemy: 5; fitness: 38.18326411940503; player life: 0; enemy life: 50.0; time: 913

RUN: run status: enemy: 5; fitness: 84.43096069395705; player life: 12.40000000000023; enemy life: 0; time: 906

RUN: run status: enemy: 5; fitness: 65.25358787142663; player life: 0; enemy life: 20.0; time: 851

RUN: run status: enemy: 5; fitness: 65.49224472101788; player life: 4.0000000000002345; enemy life: 20.0; time: 1000

RUN: run status: enemy: 5; fitness: 20.305437941478907; player life: 0; enemy life: 70.0; time: 808

RUN: run status: enemy: 5; fitness: 11.295585645035892; player life: 0; enemy life: 80.0; time: 816

RUN: run status: enemy: 5; fitness: 83.16064419553958; player life: 0.40000000000023406; enemy life: 0; time: 972

RUN: run status: enemy: 5; fitness: 85.74049965983835; player life: 24.400000000000247; enemy life: 0; time: 812

RUN: run status: enemy: 5; fitness: 56.354909030494355; player life: 0; enemy life: 30.0; time: 769

RUN: run status: enemy: 5; fitness: 47.17128792835832; player life: 0; enemy life: 40.0; time: 924

RUN: run status: enemy: 5; fitness: 74.12270392850257; player life: 0; enemy life: 10.0; time: 970

RUN: run status: enemy: 5; fitness: 83.82539590051206; player life: 5.800000000000233; enemy life: 0; time: 858

RUN: run status: enemy: 5; fitness: 56.244231078015744; player life: 0; enemy life: 30.0; time: 859

RUN: run status: enemy: 5; fitness: 83.88915772258146; player life: 5.800000000000233; enemy life: 0; time: 805

RUN: run status: enemy: 5; fitness: 87.63231598151542; player life: 41.20000000000029; enemy life: 0; time: 657

RUN: run status: enemy: 5; fitness: 29.226919624344465; player life: 0; enemy life: 60.0; time: 874

RUN: run status: enemy: 5; fitness: 56.20653386741999; player life: 0; enemy life: 30.0; time: 892

RUN: run status: enemy: 5; fitness: 83.7220595870251; player life: 5.200000000000234; enemy life: 0; time: 896

RUN: run status: enemy: 5; fitness: 74.29681188675914; player life: 0; enemy life: 10.0; time: 815

RUN: run status: enemy: 5; fitness: 38.42353043095178; player life: 0; enemy life: 50.0; time: 718

RUN: run status: enemy: 5; fitness: 47.14775743094812; player life: 0; enemy life: 40.0; time: 946

RUN: run status: enemy: 5; fitness: 74.18765490582253; player life: 0; enemy life: 10.0; time: 909

RUN: run status: enemy: 5; fitness: 85.66012950078718; player life: 22.600000000000243; enemy life: 0; time: 735

RUN: run status: enemy: 5; fitness: 65.79224472101788; player life: 7.000000000000233; enemy life: 20.0; time: 1000

RUN: run status: enemy: 5; fitness: 56.239585308916574; player life: 0; enemy life: 30.0; time: 863

RUN: run status: enemy: 5; fitness: 74.17128792835831; player life: 0; enemy life: 10.0; time: 924

RUN: run status: enemy: 5; fitness: 85.05215501769044; player life: 18.400000000000233; enemy life: 0; time: 887

RUN: run status: enemy: 5; fitness: 47.24889853106324; player life: 0; enemy life: 40.0; time: 855

RUN: run status: enemy: 5; fitness: 47.30049965983832; player life: 0; enemy life: 40.0; time: 812

RUN: run status: enemy: 5; fitness: 86.92982511803386; player life: 33.40000000000027; enemy life: 0; time: 608

RUN: run status: enemy: 5; fitness: 74.25006880621143; player life: 0; enemy life: 10.0; time: 854

RUN: run status: enemy: 5; fitness: 84.42539590051206; player life: 11.80000000000023; enemy life: 0; time: 858

RUN: run status: enemy: 5; fitness: 84.08866891806655; player life: 5.200000000000234; enemy life: 0; time: 621

RUN: run status: enemy: 5; fitness: 38.28704379932293; player life: 0; enemy life: 50.0; time: 823

RUN: run status: enemy: 5; fitness: 65.25224472101789; player life: 1.6000000000002341; enemy life: 20.0; time: 1000

RUN: run status: enemy: 5; fitness: 84.1416578853457; player life: 8.200000000000232; enemy life: 0; time: 795

RUN: run status: enemy: 5; fitness: 85.14296575233354; player life: 18.400000000000233; enemy life: 0; time: 810

RUN: run status: enemy: 5; fitness: 38.26421998575768; player life: 0; enemy life: 50.0; time: 842

RUN: run status: enemy: 5; fitness: 47.30667633173005; player life: 0; enemy life: 40.0; time: 807

RUN: run status: enemy: 5; fitness: 65.10939087985284; player life: 0; enemy life: 20.0; time: 983

RUN: run status: enemy: 5; fitness: 85.93460763199208; player life: 25.60000000000025; enemy life: 0; time: 754

RUN: run status: enemy: 5; fitness: 65.16804643443415; player life: 0; enemy life: 20.0; time: 927

RUN: run status: enemy: 5; fitness: 56.24539590051204; player life: 0; enemy life: 30.0; time: 858

RUN: run status: enemy: 5; fitness: 47.24889853106324; player life: 0; enemy life: 40.0; time: 855

RUN: run status: enemy: 5; fitness: 85.86296575233355; player life: 25.60000000000025; enemy life: 0; time: 810

RUN: run status: enemy: 5; fitness: 47.24889853106324; player life: 0; enemy life: 40.0; time: 855

RUN: run status: enemy: 5; fitness: 56.31224472101788; player life: 2.200000000000234; enemy life: 30.0; time: 1000

RUN: run status: enemy: 5; fitness: 47.35881783025941; player life: 0; enemy life: 40.0; time: 766

RUN: run status: enemy: 5; fitness: 56.36012416617346; player life: 0; enemy life: 30.0; time: 765

RUN: run status: enemy: 5; fitness: 66.69224472101789; player life: 16.000000000000227; enemy life: 20.0; time: 1000

RUN: run status: enemy: 5; fitness: 29.147757430948122; player life: 0; enemy life: 60.0; time: 946

RUN: run status: enemy: 5; fitness: 74.15305686041462; player life: 0; enemy life: 10.0; time: 941

RUN: run status: enemy: 5; fitness: 74.14459120139007; player life: 0; enemy life: 10.0; time: 949

RUN: run status: enemy: 5; fitness: 74.2303580231475; player life: 0; enemy life: 10.0; time: 871

RUN: run status: enemy: 5; fitness: 38.154120124735954; player life: 0; enemy life: 50.0; time: 940

RUN: run status: enemy: 5; fitness: 38.14670090681392; player life: 0; enemy life: 50.0; time: 947

RUN: run status: enemy: 5; fitness: 74.24539590051204; player life: 0; enemy life: 10.0; time: 858

RUN: run status: enemy: 5; fitness: 84.8352086076143; player life: 14.200000000000228; enemy life: 0; time: 724

RUN: run status: enemy: 5; fitness: 47.13828865951927; player life: 0; enemy life: 40.0; time: 955

RUN: run status: enemy: 5; fitness: 38.25829930534795; player life: 0; enemy life: 50.0; time: 847

RUN: run status: enemy: 5; fitness: 85.81726367605019; player life: 24.400000000000247; enemy life: 0; time: 752

RUN: run status: enemy: 5; fitness: 47.26184750540404; player life: 0; enemy life: 40.0; time: 844

RUN: run status: enemy: 5; fitness: 87.45008172177351; player life: 37.60000000000028; enemy life: 0; time: 550

RUN: run status: enemy: 5; fitness: 29.492244721017883; player life: 4.0000000000002345; enemy life: 60.0; time: 1000

RUN: run status: enemy: 5; fitness: 38.14775743094812; player life: 0; enemy life: 50.0; time: 946

RUN: run status: enemy: 5; fitness: 56.190960693957024; player life: 0; enemy life: 30.0; time: 906

RUN: run status: enemy: 5; fitness: 56.14248593745461; player life: 0; enemy life: 30.0; time: 951

RUN: run status: enemy: 5; fitness: 87.633724713052; player life: 39.40000000000028; enemy life: 0; time: 548

RUN: run status: enemy: 5; fitness: 74.43224472101788; player life: 3.4000000000002344; enemy life: 10.0; time: 1000

RUN: run status: enemy: 5; fitness: 83.36987383385453; player life: 2.200000000000234; enemy life: 0; time: 944

RUN: run status: enemy: 5; fitness: 11.127871898661013; player life: 0; enemy life: 80.0; time: 965

RUN: run status: enemy: 5; fitness: 83.90317628172517; player life: 7.000000000000233; enemy life: 0; time: 895

RUN: run status: enemy: 5; fitness: 74.25006880621143; player life: 0; enemy life: 10.0; time: 854

RUN: run status: enemy: 5; fitness: 84.65889252774355; player life: 14.800000000000228; enemy life: 0; time: 917

RUN: run status: enemy: 5; fitness: 47.16159479915265; player life: 0; enemy life: 40.0; time: 933

RUN: run status: enemy: 5; fitness: 65.36274196871554; player life: 0; enemy life: 20.0; time: 763

RUN: run status: enemy: 5; fitness: 89.30968459414689; player life: 55.00000000000032; enemy life: 0; time: 488

RUN: run status: enemy: 5; fitness: 83.52373538810926; player life: 4.0000000000002345; enemy life: 0; time: 969

RUN: run status: enemy: 5; fitness: 86.05871032945964; player life: 25.60000000000025; enemy life: 0; time: 666

RUN: run status: enemy: 5; fitness: 38.732244721017885; player life: 6.400000000000233; enemy life: 50.0; time: 1000

RUN: run status: enemy: 5; fitness: 56.21441235499207; player life: 0; enemy life: 30.0; time: 885

RUN: run status: enemy: 5; fitness: 85.09914532120982; player life: 17.80000000000023; enemy life: 0; time: 797

RUN: run status: enemy: 5; fitness: 38.253587871426625; player life: 0; enemy life: 50.0; time: 851

RUN: run status: enemy: 5; fitness: 38.24656208140222; player life: 0; enemy life: 50.0; time: 857

RUN: run status: enemy: 5; fitness: 47.26898189951792; player life: 0; enemy life: 40.0; time: 838

RUN: run status: enemy: 5; fitness: 56.364053444313356; player life: 0; enemy life: 30.0; time: 762

RUN: run status: enemy: 5; fitness: 38.14881507250626; player life: 0; enemy life: 50.0; time: 945

RUN: run status: enemy: 5; fitness: 56.336867304009196; player life: 0; enemy life: 30.0; time: 783

RUN: run status: enemy: 5; fitness: 87.53312001393071; player life: 39.40000000000028; enemy life: 0; time: 606

RUN: run status: enemy: 5; fitness: 84.01538827233209; player life: 7.000000000000233; enemy life: 0; time: 800

RUN: run status: enemy: 5; fitness: 29.257119364208098; player life: 0; enemy life: 60.0; time: 848

RUN: run status: enemy: 5; fitness: 29.1498738338545; player life: 0; enemy life: 60.0; time: 944

RUN: run status: enemy: 5; fitness: 65.25124045250833; player life: 0; enemy life: 20.0; time: 853

RUN: run status: enemy: 5; fitness: 65.36143221083348; player life: 0; enemy life: 20.0; time: 764

RUN: run status: enemy: 5; fitness: 56.244231078015744; player life: 0; enemy life: 30.0; time: 859

RUN: run status: enemy: 5; fitness: 85.05470207905182; player life: 16.60000000000023; enemy life: 0; time: 739

RUN: run status: enemy: 5; fitness: 74.19096069395702; player life: 0; enemy life: 10.0; time: 906

RUN: run status: enemy: 5; fitness: 29.20205958702507; player life: 0; enemy life: 60.0; time: 896

RUN: run status: enemy: 5; fitness: 87.23346333071255; player life: 34.60000000000027; enemy life: 0; time: 506

RUN: run status: enemy: 5; fitness: 74.16159479915265; player life: 0; enemy life: 10.0; time: 933

RUN: run status: enemy: 5; fitness: 84.12216942854587; player life: 9.400000000000231; enemy life: 0; time: 914

RUN: run status: enemy: 5; fitness: 84.68923367915416; player life: 13.600000000000229; enemy life: 0; time: 789

RUN: run status: enemy: 5; fitness: 87.56776016497956; player life: 40.600000000000286; enemy life: 0; time: 660

RUN: run status: enemy: 5; fitness: 47.373282250750975; player life: 0; enemy life: 40.0; time: 755

RUN: run status: enemy: 5; fitness: 56.27256827514915; player life: 0; enemy life: 30.0; time: 835

